B115	B115	0.014194	-0.00926387	-0.00239128	-0.00293233	-0.0419913
B116	B116	0.0144809	-0.00470438	-0.0010422	-0.00172579	-0.0257484
B117	B117	-0.0274102	-0.00546769	-0.0372748	0.00157736	0.00298754
B118	B118	0.0125697	-0.00863088	-0.00298109	-0.000956734	-0.0175549
B119	B119	0.0132875	-0.00903086	-0.00385528	-0.00412647	-0.0558587
B120	B120	0.0133767	-0.0088935	-0.00185836	-0.000846022	-0.0109129
B121	B121	0.0143039	-0.00921778	-0.00368121	-0.00453388	-0.0628991
B122	B122	-0.0280208	-0.00620972	-0.0472546	-0.00083304	0.00438104
B123	B123	0.0116245	-0.00789218	-0.00230737	-0.00169141	-0.0129908
B124	B124	-0.0151328	-0.00675106	-0.0326871	-0.000947382	-0.00462774
B125	B125	0.0122425	-0.00825618	-0.00351579	-0.00215148	-0.0260312
B126	B126	0.0129273	-0.00873318	-0.00506499	-0.00348587	-0.0511148
B127	B127	0.013211	-0.00874676	-0.00490154	-0.00353293	-0.0516084
B128	B128	0.00782071	-0.00817316	-0.00257718	-0.00312788	-0.0114815
B129	B129	0.0128309	-0.00802882	-0.00197289	-0.000585677	-0.0111776
B130	B130	0.0107733	-0.00748464	-0.0036624	-0.00301985	-0.0433226
B131	B131	0.0128187	-0.00746131	-0.0020105	0.000747465	-0.00462318
B132	B132	0.0089421	-0.00740476	-0.00555541	0.000730041	-0.00421604
B133	B133	0.0115997	-0.00523884	-0.0016662	-0.00173793	-0.0141658
B134	B134	-0.0276499	-0.00438111	-0.00686923	0.00298477	6.15423e-05
B135	B135	0.0123644	-0.00765102	-0.00287836	0.000852047	0.00281791
B136	B136	-0.02711	-0.00485028	-0.0263704	0.00318003	0.00202804
B137	B137	0.0115142	-0.00830911	-0.00322241	-0.00190683	-0.0175267
B138	B138	0.0106656	-0.0066719	0.00121271	-0.00299994	-0.00651353
B139	B139	0.00974697	-0.00817679	-0.00572255	-0.00151043	-0.0307105
B140	B140	0.0134121	-0.00815302	-0.00231095	-0.00406426	-0.0475679
B141	B141	-0.00515943	-0.00756326	-0.0212072	-0.00178288	-0.0140442
B142	B142	-0.0125327	-0.00733309	-0.0330222	-0.000898196	-0.00702702
B143	B143	-0.0147549	-0.00721065	-0.035415	-0.00220963	-0.00549118
B144	B144	-0.0240834	-0.00563203	-0.0161885	-0.00263672	0.000126934
B145	B145	0.00931623	-0.00660007	-0.00518667	-0.000866276	-0.00874412
B146	B146	0.0136071	-0.00895668	-0.00250652	-0.00237618	-0.0167743
B147	B147	0.0109162	-0.00795775	-0.00452949	-0.00278509	-0.0396347
B148	B148	-0.0266052	-0.00466984	-0.0261564	0.00381409	0.00240362
B149	B149	0.0141352	-0.0084415	-0.00195415	-0.00303709	-0.0444946
B150	B150	0.011881	-0.00793961	-0.00542784	-0.00225275	-0.0359597
B151	B151	0.0134453	-0.00847455	-0.00174119	-0.00199885	-0.0352913
B153	B153	0.0104301	-0.00802102	-0.00361768	-0.00203979	-0.0231669
B154	B154	-0.0260126	-0.0062851	-0.0461009	-0.000870537	0.00296133
B155	B155	0.00867775	-0.00714835	0.00208171	-0.00311341	-0.023096
B156	B156	0.0140586	-0.00829958	-0.00233606	-0.00317942	-0.0436938
B157	B157	0.0142505	-0.00865234	-0.00301266	-0.0029602	-0.0323994
B158	B158	-0.00517117	-0.00784864	-0.0232243	-0.00200589	-0.0180068
B159	B159	0.0129177	-0.00924986	-0.00275321	-0.00316401	-0.0364291
B160	B160	-0.0291738	-0.00619779	-0.0521286	-0.000307781	0.00451128
B161	B161	-0.0281259	-0.00515077	-0.0345548	0.00335808	0.0025435
B162	B162	-0.0277385	-0.0056431	-0.0456945	0.00394211	0.00334176
B163	B163	0.0116866	-0.00622878	-0.00228929	-0.00267772	-0.0356831
B164	B164	0.00402009	0.0516431	-0.00249305	-0.0162596	-0.00455589
B165	B165	0.013006	-0.00632537	0.000103242	-0.000639141	-0.00942328
B166	B166	-0.0287879	-0.00594494	-0.0463507	0.000534026	0.00411177
B167	B167	-0.0290623	-0.00584174	-0.046425	0.000304776	0.00433556
B168	B168	-0.0280515	-0.00581775	-0.0257195	-0.00340677	0.00503191
B169	B169	-0.0290997	-0.00626738	-0.0514548	-0.000463776	0.00432112
B170	B170	-0.0291748	-0.00639982	-0.0455668	-0.00354674	0.00618939
B171	B171	-0.0288903	-0.00623928	-0.0521566	-0.000571626	0.00436134
B173	B173	-0.00166305	-0.000468744	0.0119653	0.0129683	0.00090661
B176	B176	0.00690543	-0.00606249	0.00376565	-0.00315071	0.00102948
B179	B179	-0.0294415	-0.00519558	-0.0425489	0.00276383	0.00426117
B180	B180	0.0143402	-0.00724688	4.00152e-05	-2.07878e-05	0.0048509
B182	B182	-0.0291251	-0.00598794	-0.0481678	-0.000176083	0.00423003
B183	B183	-0.0289284	-0.00632499	-0.0515456	-0.00073079	0.00415839
B184	B184	0.0100347	-0.00662948	-0.000598194	0.00129833	-0.00224941
B185	B185	0.0134061	-0.0065592	-0.00398463	-0.00344942	-0.0321349
B187	B187	0.0126226	0.00012592	-0.00234155	-0.00261812	-0.0179331
B188	B188	-0.0292878	-0.0054228	0.0393294	-0.0202466	-0.0016018
B189	B189	-0.0290691	-0.00443645	0.0361283	-0.0166054	-0.00100976
B190	B190	-0.0286779	-0.00562207	0.0383466	-0.0206362	-0.00185364
B191	B191	-0.0271449	-0.00612969	0.00598814	-0.0147297	0.00174694
B192	B192	-0.00423443	-0.000215128	0.0105202	-0.0117955	-0.00126576
B193	B193	0.013233	-0.00963102	-0.000986925	-0.00089196	0.00151586
